Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
Europe,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,France,"43.555178800000, 6.978879800000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Central America,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"18.836600300000, -97.110042500000",Central America to US
North Africa,2017,Feb,7.0,Unknown,7,Unknown,Unknown,Unknown,Unknown,Accident,Egypt,"21.999669500000, 31.164196800000",Unknown
North Africa,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
North Africa,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,Egypt,"21.124097600000, 31.770246500000",Unknown
North Africa,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.629100500000, 30.951960400000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Horn of Africa,2017,Feb,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Yemen,"15.546658100000, 42.328246400000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Central America,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.695513900000, -98.896157100000",Central America to US
Mediterranean,2017,Feb,Unknown,2.0,2,3.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.974691964994, -5.615392255078",Western Mediterranean
Europe,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,Serbia,"43.097249500000, 22.850287300000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.183578200000, -98.055924600000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
North Africa,2017,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Starvation,Libya,"26.669984000000, 14.861595100000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.105878800000, -98.205839700000",Central America to US
North Africa,2017,Feb,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","21.999669500000, 31.164196800000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.456537800000, -99.569848700000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
North Africa,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","15.238089100000, 36.496255500000",Unknown
South Asia,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"29.098495600000, 58.337468000000",Unknown
Central America,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"20.768445200000, -104.088235700000",Central America to US
Mediterranean,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Dehydration,Italy,"38.675777400000, 16.098348800000",Central Mediterranean
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.105878800000, -98.205839700000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.156139050658, -98.273260755469",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"29.174111600000, -100.796130200000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.456537800000, -99.569848700000",Central America to US
Mediterranean,2017,Feb,1.0,Unknown,1,45.0,1.0,Unknown,Unknown,Drowning,Turkey,"39.343261000000, 26.671927000000",Eastern Mediterranean
Europe,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Italy,"43.799651800000, 7.590728400000",Unknown
Central America,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"23.257883478124, -106.419405341150",Central America to US
South Asia,2017,Feb,5.0,Unknown,5,Unknown,Unknown,5.0,Unknown,Starvation,Iran,"38.212144000000, 44.641717000000",Unknown
Mediterranean,2017,Feb,Unknown,3.0,3,113.0,Unknown,Unknown,3.0,Drowning,Libya,"32.862970600000, 13.121579700000",Central Mediterranean
Central America,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.183416600000, -96.186697100000",Central America to US
Horn of Africa,2017,Feb,7.0,Unknown,7,100.0,Unknown,7.0,Unknown,Drowning,Yemen,"12.510801873230, 44.237376584375",Unknown
Horn of Africa,2017,Feb,1.0,Unknown,1,100.0,1.0,Unknown,Unknown,Accident,Yemen,"12.516273940429, 44.110107421875",Unknown
North Africa,2017,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","24.094017600000, 32.858026400000",Unknown
South Asia,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"31.897423200000, 54.356856200000",Unknown
South Asia,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"30.354889300000, 56.002705000000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.691051700000, -100.580182900000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.691051700000, -100.580182900000",Central America to US
Central America,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"26.066918100000, -108.790470100000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","27.134142547078, -98.064520521094",Central America to US
North Africa,2017,Jan,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Unknown,"Sahara desert, Sudan","15.455814400000, 36.378757100000",Unknown
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.709143300000, -100.499521400000",Central America to US
North Africa,2017,Jan,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"32.868756136550, 13.187218426953",Unknown
North Africa,2017,Jan,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"26.384627636830, 21.567930609375",Unknown
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,Niger,"16.974168900000, 7.986535000000",Unknown
North Africa,2017,Jan,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Murdered,Mali,"16.290345609854, -0.030733282031",Unknown
Mediterranean,2017,Jan,Unknown,3.0,3,11.0,Unknown,Unknown,Unknown,Drowning,Spain,"36.746431600000, -2.172064600000",Western Mediterranean
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.456537800000, -99.569848700000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.691051700000, -100.580182900000",Central America to US
Mediterranean,2017,Jan,1.0,1.0,2,Unknown,1.0,Unknown,Unknown,Unknown,Italy,"36.308006500000, 11.962684900000",Central Mediterranean
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","28.691931500000, -100.514183000000",Central America to US
Mediterranean,2017,Jan,2.0,Unknown,2,151.0,Unknown,2.0,2.0,Weather conditions,Italy,"35.390804474108, 13.390907556250",Central Mediterranean
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Mediterranean,2017,Jan,1.0,2.0,3,299.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.791284000000, 12.415264900000",Central Mediterranean
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.028988437628, -98.026068372656",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.816939672666, -99.243485420117",Unknown
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","26.227505095376, -98.512945175171",Central America to US
Caribbean,2017,Jan,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Drowning,Puerto Rico,"18.488993820440, -67.177269820313",Unknown
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.226864219969, -98.512212082031",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.065491055061, -97.934209307935",Central America to US
Mediterranean,2017,Jan,10.0,Unknown,10,Unknown,1.0,8.0,1.0,Drowning,Libya,"32.911519200000, 13.117770000000",Central Mediterranean
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"25.843378700000, -97.584984500000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.220185461988, -98.477632649707",Central America to US
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Harsh conditions,"Sahara desert, Sudan","21.727448300000, 31.312928900000",Unknown
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"32.666889909591, -115.460158723340",Central America to US
North Africa,2017,Jan,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Harsh conditions,"Sahara desert, Sudan","18.904759400000, 27.846891900000",Unknown
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Harsh conditions,Egypt,"24.064253700000, 32.793551300000",Unknown
Europe,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,France,"50.951880300000, 1.833936700000",Unknown
Mediterranean,2017,Jan,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.791284000000, 12.415264900000",Central Mediterranean
Mediterranean,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.911519200000, 13.117770000000",Central Mediterranean
US-Mexico Border,2017,Jan,Unknown,1.0,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.603153566325, -99.583664248926",Central America to US
Horn of Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Ethiopia,"9.352104400000, 42.777371200000",Unknown
North Africa,2017,Jan,7.0,Unknown,7,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","18.524731900000, 31.641623400000",Unknown
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","17.715939500000, 33.835907700000",Unknown
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","18.050127700000, 33.803724600000",Unknown
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","15.629100500000, 30.951960400000",Unknown
North Africa,2017,Jan,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","17.692227100000, 33.976249200000",Unknown
Horn of Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","15.097969700000, 36.652181700000",Unknown
North Africa,2017,Jan,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","29.198631400000, 19.222584500000",Unknown
North Africa,2017,Jan,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
North Africa,2017,Jan,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Libya","25.027031700000, 13.735062900000",Unknown
Horn of Africa,2017,Jan,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Accident,Ethiopia,"14.278231700000, 36.596317000000",Unknown
North Africa,2017,Jan,10.0,Unknown,10,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Libya","25.027031700000, 13.735062900000",Unknown
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.629100500000, 30.951960400000",Unknown
North Africa,2017,Jan,32.0,Unknown,32,Unknown,Unknown,Unknown,Unknown,Starvation,"Sahara desert, Sudan","29.832205900000, 16.345589200000",Unknown
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.105878800000, -98.205839700000",Central America to US
Horn of Africa,2017,Jan,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Murdered,Ethiopia,"12.952952800000, 36.148291800000",Unknown
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
Horn of Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Somalia,"3.713282000000, 43.875956500000",Unknown
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.183578200000, -98.055924600000",Central America to US
North Africa,2017,Jan,4.0,Unknown,4,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
North Africa,2017,Jan,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","22.056700900000, 30.135503500000",Unknown
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"24.064253700000, 32.793551300000",Unknown
Central America,2017,Jan,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Murdered,Mexico,"19.412657500000, -98.157212700000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,2.0,Unknown,Unknown,Unknown,Drowning,Mexico,"27.456537800000, -99.569848700000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.027305700000, -98.392959276953",Central America to US
South Asia,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Iran,"30.354889300000, 56.002705000000",Unknown
South Asia,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"27.183221600000, 56.266645500000",Unknown
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
North Africa,2017,Jan,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
North Africa,2017,Jan,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","24.072132200000, 32.719902700000",Unknown
Mediterranean,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Greece,"37.700274600000, 27.036172000000",Eastern Mediterranean
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
South Asia,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"31.897423200000, 54.356856200000",Unknown
South Asia,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Iran,"29.098495600000, 58.337468000000",Unknown
South Asia,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"27.529990600000, 60.582067600000",Unknown
Mediterranean,2017,Jan,4.0,172.0,176,4.0,Unknown,Unknown,Unknown,Drowning,Libya,"33.095322800000, 12.648929300000",Central Mediterranean
Mediterranean,2017,Jan,1.0,Unknown,1,2.0,1.0,Unknown,Unknown,Unknown,Morocco,"35.176142300000, -2.924073300000",Western Mediterranean
Mediterranean,2017,Jan,Unknown,3.0,3,Unknown,1.0,2.0,Unknown,Drowning,Morocco,"35.176142300000, -2.924073300000",Western Mediterranean
Mediterranean,2017,Jan,8.0,7.0,15,4.0,1.0,6.0,1.0,Drowning,Spain,"35.999138366460, -5.610585736524",Western Mediterranean
Mediterranean,2017,Jan,1.0,Unknown,1,7.0,1.0,Unknown,Unknown,Weather conditions,Spain,"35.927882159511, -5.294504086328",Western Mediterranean
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","17.149953900000, 34.728076400000",Unknown
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","18.026728400000, 33.975176600000",Unknown
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","16.634096000000, 30.665200700000",Unknown
Europe,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,Greece,"40.886378700000, 26.177408600000",Unknown
US-Mexico Border,2017,Jan,1.0,Unknown,1,2.0,Unknown,1.0,Unknown,Murdered,"Texas, USA","27.545808800000, -99.675293400000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"25.843378700000, -97.584984500000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","14.763051600000, 33.345710500000",Unknown
North Africa,2017,Jan,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","17.699594000000, 33.882407100000",Unknown
North Africa,2017,Jan,4.0,Unknown,4,Unknown,Unknown,Unknown,Unknown,Starvation,"Sahara desert, Sudan","17.715939500000, 33.835907700000",Unknown
North Africa,2017,Jan,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Accident,Egypt,"26.327791800000, 32.720635300000",Unknown
Mediterranean,2017,Jan,14.0,Unknown,14,Unknown,Unknown,Unknown,Unknown,Weather conditions,Libya,"33.010693000000, 12.047669600000",Central Mediterranean
Central America,2017,Jan,1.0,Unknown,1,5.0,Unknown,1.0,Unknown,Accident,Mexico,"27.193486400000, -104.145363100000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","26.510162900000, -99.026246300000",Central America to US
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Mediterranean,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.791284000000, 12.415264900000",Central Mediterranean
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","22.144929800000, 30.369251400000",Unknown
North Africa,2017,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","17.692227100000, 33.976249200000",Unknown
US-Mexico Border,2017,Jan,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Texas, USA","27.139794146979, -98.307815233984",Central America to US
